sentencea,sentenceb,if_sentence_a_is_true_then,to_what_extent_are_the_two_sentences_expressing_a_related_meaning,to_what_extent__are_the_two_sentences_expressing_a_related_meaning:variance
a man is not playing keyboards,a man is riding a mechanical bull,sentence b cannot be said to be true or false,1,0
four girls are doing backbends and playing outdoors,four children are doing backbends in the park,sentence b cannot be said to be true or false,4.2,0.748
a child in orange is playing outdoors with a snowball,a child is making a snow ball,sentence b cannot be said to be true or false,4.2,0.748
some persons are riding and paddling a raft,four people are floating on a raft,sentence b cannot be said to be true or false,4.4,0.49
a man in a car is pulling up beside a woman who is walking along the street,a child is walking down the street and a jeep is pulling up,sentence b cannot be said to be true or false,2.6,1.356
a woman is looking down and is wearing a wedding dress,a woman is looking down and is wearing a wedding veil,sentence b is true,4.6,0.49
the potato isn't being peeled by a woman,one woman is peeling a potato,sentence b is false,4.4,0.8
two boys are wearing brown shirts and are enthusiastically tugging at a rope on a wooden platform,two boys are wearing brown shirts and are tugging at a rope on a wooden platform,sentence b is true,4.6,0.49
a baby is playing with a toy,a baby is playing with a doll,sentence b cannot be said to be true or false,4.8,0.4
a machine is sharpening a knife,a machine is sharpening a pencil,sentence b cannot be said to be true or false,3.6,1.02
there is no one peeling a banana,a man is eating a banana,sentence b cannot be said to be true or false,3.6,1.356
a cat is playing a piano,a cat is playing a keyboard,sentence b is false,4,0.632
three boys are carefully walking on rocks along a river,the men in brown shorts are walking on the rocks beside a river,sentence b cannot be said to be true or false,3.8,0.4
a man is wearing a hat which is hard and is dancing,a man with a hard hat is dancing,sentence b is true,5,0
there is no woman cutting an onion,a woman is cutting meat,sentence b cannot be said to be true or false,3,1.414
"a rock is being climbed by a person with a rope, which is pink","a person is climbing a rock with a rope, which is pink",sentence b is true,5,0
a man is on a boat in front of the sunset,"a man is sitting on a boat in font of the sunset, near a flag",sentence b cannot be said to be true or false,3.8,0.98
two balls are bouncing against some colorful kids,the children are wearing black tights and hopping,sentence b cannot be said to be true or false,1.8,1.166
the men are not playing soccer,the men are playing soccer,sentence b is false,4.4,0.8
the boy is not riding a tricycle,the boy is riding a tricycle,sentence b is false,4,1.549
there is no man slicing a tomato,a woman is slicing a carrot,sentence b cannot be said to be true or false,2,1.155
a boy is hanging a rod for fishing and running in front of a fish,a boy is running away from the fishing line,sentence b is false,3.2,0.98
there is no white race car driving through a puddle,a white race car is driving through a puddle,sentence b is false,4,1.265
a dog is not running towards a ball,a dog is running through a field and is chasing a ball,sentence b is false,3,1.414
some women are holding each other in a circle and dancing,two men are playing table tennis,sentence b cannot be said to be true or false,1,0
the man is seasoning the meat,the man is adding seasoning to the water in a bowl,sentence b cannot be said to be true or false,2.6,0.8
there is no man drawing a picture,the person is drawing,sentence b cannot be said to be true or false,4.4,0.49
there is no man cutting tomatoes,a woman is cutting broccoli,sentence b cannot be said to be true or false,2,0.894
the boy is sitting near the blue ocean,the boy is wading through the blue ocean,sentence b is false,3.4,1.02
the man is playing a game on a lawn,the rhino is grazing on the grass,sentence b cannot be said to be true or false,1,0
one brown and black dog is running through the leaves,a dog in a colored coat is running across the yard,sentence b cannot be said to be true or false,2.6,1.02
a person is sprinkling seasoning on several sliced and buttered loaves of bread,a man is putting garlic on some bread slices,sentence b cannot be said to be true or false,4.2,0.748
a man is not rinsing a large steak,a man is rinsing a large steak,sentence b is false,4.2,1.166
a man is playing a guitar,a girl is playing a guitar,sentence b cannot be said to be true or false,3.6,0.8
a man with a shirt is holding a football,a man with no shirt is holding a football,sentence b cannot be said to be true or false,3.8,1.47
some children are wearing black tights and hopping,the children are wearing black tights and hopping,sentence b is true,5,0
one panda is climbing,a panda is climbing,sentence b is true,5,0
a man is removing some food from a box,the man is putting chicken into the container,sentence b is false,2.4,1.2
a brown and white dog is playing on the lawn,a dog is playing on the green grass,sentence b is true,4.6,0.49
a person is packing a zucchini,a woman is scrubbing a zucchini with a vegetable brush,sentence b cannot be said to be true or false,2.8,0.98
there is no lady cutting up some meat,a lady is cutting up some meat,sentence b is false,2.6,1.96
a young boy with a heart tank top is raising his hands as he is sliding,a young girl with a heart tank top is raising her hands as she is sliding,sentence b cannot be said to be true or false,4.6,0.49
two men are swimming in deep water,two men are standing in deep water,sentence b is false,4,1.095
two men are fighting,a couple of boys are playing a video game,sentence b cannot be said to be true or false,1.6,0.8
five people are standing in the grass with no dogs,five people are standing with three dogs in the green field beside the road,sentence b is false,4,1.549
a child in a green and white sports uniform is resting on the grass,a child in a green and white sports uniform is running over the grass,sentence b is false,4.6,0.49
an asian man is dancing and three kids are looking,the children of a family are playing and waiting,sentence b cannot be said to be true or false,1.8,0.98
a black and white dog is playing with a new volleyball,a black and white dog is playing with a broken volleyball,sentence b cannot be said to be true or false,4,0.894
a woman is bowling two eggs to a break dancer ,some ingredients are being mixed in a bowl by a person,sentence b cannot be said to be true or false,1.4,0.49
there is no light brown dog running up a street,a light brown dog is running up a street,sentence b is false,3.8,1.47
a little boy is getting out of a puddle in the street,a little boy is jumping into a puddle on the street,sentence b is false,4.6,0.8
skewers are being placed onto a rack by a woman,a woman is placing skewers onto a rack,sentence b is true,4.8,0.4
two people are ignoring the nearby gold statue,two people are looking at a gold statue,sentence b is false,4,1.095
the boy in the blue coverall is painting,the lady is holding the paintbrush next to the artist's easel ,sentence b cannot be said to be true or false,1.2,0.4
the family is posing by a mantel and a christmas tree,a family is posing by the mantel and the christmas tree,sentence b is true,5,0
a tiger is strolling around,a tiger is walking around,sentence b is true,5,0
the woman is not slicing an onion with a knife,a man is preparing some dish,sentence b cannot be said to be true or false,1.8,0.98
"the girl has red hair and eyebrows, several piercings in a ear and a drawing on the back",a girl with red hair and red eyebrows is in midspeech,sentence b cannot be said to be true or false,3.2,1.166
a large dog and a small dog is standing on the kitchen counter and investigate,a large dog and a small dog are standing next to the kitchen counter and are investigating,sentence b is false,4.4,0.49
a little boy is topless and is serious,the boy is playing in the mud,sentence b cannot be said to be true or false,1.8,0.748
the man isn't playing the piano,a guy is cheerfully playing with a footbag,sentence b cannot be said to be true or false,1,0
a man is falling off a surfboard in the water,a man is performing a trick on a surfboard in the water,sentence b cannot be said to be true or false,4,0
there is no person setting fire to the cameras,the person is setting fire to the cameras,sentence b is false,3.6,1.744
a biker wearing black is breaking the gears,one man is wearing a black helmet and pushing a bicycle,sentence b cannot be said to be true or false,2.6,1.2
a crowd of people is far from the water,a crowd of people is near the water,sentence b is false,4.2,1.166
a surfer in a white wetsuit is riding a foamy wave,a surfer is surfing a huge wave,sentence b cannot be said to be true or false,4.2,0.4
noodles are being boiled in water by a woman,a woman is boiling noodles in water,sentence b is true,5,0
a magician is cutting a girl into two pieces like butter,tofu is being sliced by a woman,sentence b cannot be said to be true or false,1.4,0.49
a person is combing the fur of a cat,a person is brushing a cat,sentence b is true,4.6,0.49
a man is performing with a guitar,a man is singing and playing a guitar,sentence b is true,4.6,0.49
a white woman is standing on a woman dressed in blue on a stage,a woman in a white dress and a woman in a blue dress are standing on a stage,sentence b cannot be said to be true or false,4.4,0.8
the cop is sitting on a police bicycle,a policeman is sitting on a motorcycle,sentence b cannot be said to be true or false,4.2,0.748
the woman dressed in leather chaps and a purple shirt is standing in front of onlookers,the man dressed in leather chaps and a purple shirt is standing in front of someone lookers,sentence b cannot be said to be true or false,3,1.414
a little girl in a pink shirt is running under a tree in the desert,a girl is wearing jeans and a pink shirt and is running,sentence b cannot be said to be true or false,3.8,0.748
a container is being shaken over a sink in the kitchen by a man,a man is shaking a container over a sink in the kitchen,sentence b is true,4.8,0.4
the black dog is not walking along a tree trunk bridge over water,the black dog is walking along a tree trunk bridge over water,sentence b is false,4.4,0.8
there aren't many people in the ice skating park,an ice skating rink placed outdoors is full of people,sentence b is false,3.4,1.625
the man is pouring oil into a pan,a man is pouring oil into a skillet,sentence b cannot be said to be true or false,4.2,0.4
the large brown dog is not running outside in the dirt,the large brown dog is running outside in the dirt,sentence b is false,4.2,1.6
there is no cat swinging on a fan,a cat is stuck on a moving ceiling fan,sentence b is false,2.6,1.96
a young child is splashing in the water,the small child is wading through the water and is being guided by another person,sentence b cannot be said to be true or false,3.6,0.8
one man is descending a cliff with a rope,"a person is climbing a rock with a rope, which is pink",sentence b cannot be said to be true or false,3.2,1.166
two people are sitting comfortably on the bench,a man and a woman are sitting comfortably on the bench,sentence b cannot be said to be true or false,4.4,0.49
a few swimmers are racing in a lake,several swimmers are jumping into the water,sentence b cannot be said to be true or false,3.8,1.166
a woman is cutting garlic,a woman is slicing garlic,sentence b is true,5,0
a plane is landing,an airplane is taking off,sentence b cannot be said to be true or false,5,0
there is no large brown dog and small grey dog standing on a rocky surface,the brown dog is sniffing the back of a small black dog,sentence b cannot be said to be true or false,3.4,1.02
the bicycle is being ridden by a man wearing a beret on a recreation trail,a man is wearing a beret and is riding the bicycle on a recreation trail,sentence b is true,5,0
two young kids are eating corndogs,"two toddlers are eating corndogs in a wagon, which is really small",sentence b cannot be said to be true or false,4.4,0.49
the woman is not playing an electric guitar,a man is playing an acoustic guitar,sentence b cannot be said to be true or false,3.4,1.356
two dogs are playing with each other,a black dog and a yellow dog are playing with each other,sentence b cannot be said to be true or false,4.6,0.49
a kid wearing a striped shirt is running barefoot on the sandy hill,a boy is running through the sand,sentence b is true,4.2,0.4
a little dog is sprinting and its owner is trying to catch it,the black and white dog is running and a person stands behind it,sentence b cannot be said to be true or false,3,0.894
someone is typing on a keyboard,someone is typing,sentence b is true,4.2,0.748
a woman is riding a scooter towards the water,the boy is riding a tricycle,sentence b cannot be said to be true or false,1.6,0.49
a leap over white snow is greatly appealing to the snowboarders,a person who is practicing snowboarding jumps into the air,sentence b cannot be said to be true or false,2.8,0.748
a dog is jumping on a trampoline,a dog is bouncing on a trampoline,sentence b is true,5,0
a dog is caught mid air with a ball,a brown and white dog is jumping in the air with a tennis ball in its mouth,sentence b cannot be said to be true or false,3.8,0.748
a man is attentively taking pictures of a lake,a man is taking pictures of a lake,sentence b is true,4.8,0.4
a young mother is playing with her boy in the park,a boy in blue is running away from a woman in blue,sentence b cannot be said to be true or false,2.4,1.356
a blond woman is sitting on the roof of a yellow vehicle and two people are outside,two people are driving a jeep and a lady is sitting on the top of it,sentence b cannot be said to be true or false,2.6,0.8
some swimmers are getting out of a lake,several swimmers are jumping into the water,sentence b cannot be said to be true or false,2.6,1.2
people are walking through a crowd in the street,a man and a woman are walking down a city street,sentence b cannot be said to be true or false,4,0
"the man and the boy are standing at the top of the stairs, which are outdoors",an adult is in the amphitheater and is talking to a boy,sentence b cannot be said to be true or false,3,1.265
the man in brown colored shorts is walking on the rocks beside a river,the men in brown shorts are walking on the rocks beside a river,sentence b cannot be said to be true or false,4.8,0.4
a little boy is playing a guitar,a boy is playing guitar,sentence b is true,4.8,0.4
a black animal is jumping from a dock into the water,a black dog is jumping off a dock into a pond,sentence b cannot be said to be true or false,4.2,0.748
a man is playing an electronic keyboard,a band is playing some instruments,sentence b cannot be said to be true or false,4,0.632
a man is drawing some figures,a man is strolling in the rain,sentence b cannot be said to be true or false,1.4,0.49
the plane is landing,a plane is landing,sentence b is true,5,0
a dog is pushing a toddler into a puddle of rain,the dog is knocking a boy into the water,sentence b is true,4.4,0.8
the woman is slicing garlic,a woman is chopping broccoli,sentence b cannot be said to be true or false,3.4,0.49
a brown dog is staring attentively at a brown and white dog,the little dog is grabbing the bedroom slipper with its mouth,sentence b cannot be said to be true or false,1.8,0.748
a person is stopping playing a trumpet ,a man is playing the guitar,sentence b cannot be said to be true or false,3.2,1.166
there is no young child splashing in the water,the small child is wading through the water and is being guided by another person,sentence b is false,3,1.265
the woman is not cracking two eggs into a glass bowl,a woman is cracking an egg into a bowl,sentence b cannot be said to be true or false,4,1.095
a person is jotting something with a pencil,the person is writing with a pencil,sentence b is true,5,0
there is no lady peeling the potato,the lady is peeling the potato,sentence b is false,4.2,0.748
a brown and white dog is catching a dirty golf ball in a dirt field,a brown and white dog is catching a dirty tennis ball in a dirt field,sentence b cannot be said to be true or false,4.4,0.49
a woman in a fur hat and fur coat is sitting outside a building,a woman in a fur hat and fur coat is standing outside a building,sentence b is false,4,1.549
children are playing in a fountain that is spraying water from the ground,little kids are playing in a water fountain in front of lots of people,sentence b cannot be said to be true or false,4.2,0.4
a prey is quickly running behind the cheetah,a cheetah is quickly running behind its prey.,sentence b is false,4.4,0.49
a woman is cutting garlic,a woman is slicing an onion,sentence b cannot be said to be true or false,3.2,0.748
a woman is pouring eggs into a pan,a woman is pouring eggs into a frying pan,sentence b cannot be said to be true or false,4.6,0.49
the man is playing a piano,a guy is cheerfully playing with a footbag,sentence b cannot be said to be true or false,1.4,0.8
the woman is poking holes in the potato,a woman is putting a baby in a waste bin,sentence b cannot be said to be true or false,1,0
a musician is playing a keyboard,a man is playing a guitar,sentence b cannot be said to be true or false,2.6,1.356
a dirty tan dog is rolling in the water and looking right at the camera,a dog is rolling on the ground,sentence b cannot be said to be true or false,2.8,1.327
the deer is not jumping over the fence,a deer is jumping over a cyclone fence,sentence b is false,4,1.095
"a biker with a blue jacket, black pants and a white helmet is driving recklessly on dirt and people watch",the motocross rider is wearing blue and black pants,sentence b cannot be said to be true or false,3.6,1.02
a man in a purple colored suit is standing by a purple case and is playing a guitar,the man is playing the guitar and has the guitar case open for donations,sentence b cannot be said to be true or false,3.8,0.4
garlic is being diced by the woman,the woman is dicing garlic,sentence b is true,5,0
a man is jumping off a low wall,a man is jumping onto a low wall,sentence b is false,3.4,0.8
the woman is putting down the kangaroo,the woman is picking up a baby kangaroo,sentence b cannot be said to be true or false,3.4,1.2
the man is not walking along a path through the wilderness,the man is walking along a path through the wilderness,sentence b is false,5,0
an animated airplane is taking off,an animated airplane is landing,sentence b is false,4.4,0.49
the person is not standing on white ice,a woman is peeling a potato,sentence b cannot be said to be true or false,1,0
there is no man spraying a super soaker into the mouth of a dog,a person is chopping an onion,sentence b cannot be said to be true or false,1,0
"a dog, which is large and gray, is dropping a ball from its mouth and stopping in the grass","a dog, which is large and gray, is carrying a ball in its mouth and running across the grass",sentence b cannot be said to be true or false,3,1.095
a boat is sailing quietly over the water,a boat is sailing peacefully over the water,sentence b is true,4.8,0.4
a bicycle is being ridden by the little boy in a race,the little boy is riding a bicycle in a race,sentence b is true,4.8,0.4
the boy and girl are not playing on a playground,the boy and girl are playing on the outdoor gym,sentence b cannot be said to be true or false,3.8,0.4
a man is cleaning the sink,a man is pouring cleaner into the sink,sentence b is true,5,0
a woman is removing eggs from a frying pan,a woman is pouring eggs into a frying pan,sentence b is false,3.2,1.47
three men are practicing karate outdoors,three men are practicing karate in a field,sentence b cannot be said to be true or false,4.8,0.4
a dog is not running towards a ball,a dog is running towards a ball,sentence b is false,2.2,1.166
the man's jumper is in the empty pool,a lone biker is jumping in the air,sentence b cannot be said to be true or false,1.6,1.2
the soccer player is kicking the ball between somebody's legs,a person is kicking a soccer ball between their feet,sentence b cannot be said to be true or false,3.8,0.98
"a dog, which is large and gray, is carrying a ball in its mouth and running across the grass",a large dog is running on the grass with a tennis ball in its mouth,sentence b is true,4.6,0.49
there is no kitten drinking milk,a kitten is drinking fresh milk,sentence b is false,3.6,1.744
two men are walking through the grass,two men are walking through the water,sentence b cannot be said to be true or false,2.8,1.47
there is no woman putting meat in a pan,a woman is putting meat in a pan,sentence b is false,3.4,1.356
a piano is being played by a person,a person is playing a piano,sentence b is true,4.8,0.4
a bride in a white dress is running,a girl in a white dress is running,sentence b is true,4.2,0.748
three boys in karate costumes aren't fighting,three men are practicing karate in a field,sentence b cannot be said to be true or false,2.8,1.47
the lady is carefully slicing up the meat,the lady is slicing up the meat,sentence b is true,4.6,0.49
a big city is begging for men and money holders,a man in a big city is holding a sign and begging for money,sentence b cannot be said to be true or false,2.8,1.166
a woman is riding a scooter for water,the boy is riding a tricycle,sentence b cannot be said to be true or false,1.2,0.4
there is no monkey brushing the dog,the monkey is brushing a bull dog,sentence b is false,2.4,1.497
a person is dancing in the rain,a man is singing into a microphone,sentence b cannot be said to be true or false,1,0
the woman in a red costume is not leaning against a brick wall and is not playing an instrument,the woman in a red costume is leaning against a brick wall and playing an instrument,sentence b is false,3.2,1.833
the group of people is sitting on a ledge which is rocky and a scenic view is behind them,the group of people is sitting on a rocky ledge and a scenic view is behind them,sentence b is true,5,0
two people wearing helmets are driving over the yellow and white flowers,two adults are standing on a scooter in a field of yellow flowers,sentence b cannot be said to be true or false,4,1.095
three men are looking at something nearby,three men are looking into the distance,sentence b is false,3.6,0.8
a model is wearing a purple shirt and black leather chaps and is posing for the camera,a man is wearing a purple shirt and black leather chaps and is posing for the camera,sentence b cannot be said to be true or false,4.6,0.49
a child is watching someone playing outdoors and is spouting water over the rest of his family ,a boy is holding a hose next to a man and another boy is watching,sentence b cannot be said to be true or false,3.2,1.166
a person is wrapping up an onion,a person is cutting an onion,sentence b is false,4.6,0.49
a yellow dog is stopping on white snow on a sunny day,a yellow dog is running on white snow on a sunny day,sentence b is false,3.6,1.356
the chef is carefully drying the oil from the pan,the chef is carefully pouring some oil into a pan,sentence b is false,3.6,1.02
two cats are playing with a red ball,two daschunds are playing with a red ball,sentence b cannot be said to be true or false,3.2,1.166
a man is taping a cut box,a man is cutting a box,sentence b cannot be said to be true or false,3.6,1.356
a woman is not riding a horse,a woman is riding a horse,sentence b is false,4.2,0.748
a black dog is sitting in the grass and keeping its mouth closed,a black dog is running in the grass,sentence b cannot be said to be true or false,4,0
a toy train is missing a toy car,a toy train is striking a toy car,sentence b is false,4.4,0.49
one person is slicing a clove of garlic into pieces,the person is slicing a clove of garlic into pieces,sentence b is true,5,0
the kids are not chasing each other in the sand,a little boy is running on the ground and playing with a little girl,sentence b cannot be said to be true or false,2.4,1.2
a man is sitting,a man is dancing,sentence b is false,3,1.095
the equipment in front of the blond dancing girl is sound,a girl in white is dancing,sentence b cannot be said to be true or false,3.6,0.49
the back of a small black dog is being sniffed by the brown dog,the brown dog is sniffing the back of a small black dog,sentence b is true,5,0
a boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,a boy is climbing up a wall artificially built for climbing and is attached to a rope,sentence b is true,5,0
the young child is splashing in the water,the small child is wading through the water and is being guided by another person,sentence b cannot be said to be true or false,4,0
"a young, topless woman is covered in paint",a nude lady is walking in front of a crowd in body paint,sentence b cannot be said to be true or false,4.6,0.49
"three young men are furiously running, jumping and kicking near a vending machine",three men are jumping off a wall,sentence b cannot be said to be true or false,2.2,1.166
three people are driving four wheel atvs in a street,three people are driving four wheel atvs in a field,sentence b is false,3.6,1.356
a man is slowly folding a tortilla,a person is folding a tortilla,sentence b is true,4.8,0.4
someone is being boiled with okra in a pot,someone is cooking okra in a pan,sentence b cannot be said to be true or false,3.4,0.8
a man is riding a horse in the desert,a guy is riding a horse,sentence b is true,4.2,1.166
there is no football player in a purple jersey running with the ball for a touchdown,a football player in a purple jersey is running with the ball for a touchdown,sentence b is false,4.6,0.49
there is no woman slicing a carrot,a woman is slicing a carrot,sentence b is false,4.2,1.166
a man who is playing dunks the basketball into the net and a crowd is in background,a man with a jersey is dunking the ball at a basketball game,sentence b cannot be said to be true or false,4,0
a boy is wearing an orange shirt and a striped tie,a girl in an orange shirt and clown makeup is standing in a park and others are looking on,sentence b cannot be said to be true or false,1.2,0.4
a man is cleaning the edge of a bowl,a man is wiping the edge of a bowl,sentence b is true,5,0
two dogs are running and carrying an object in their mouths,a dog is chasing another and is holding a stick in its mouth,sentence b cannot be said to be true or false,4,0.632
a woman is performing a trick on a ramp with a bicycle,the helmeted girl is perching on a bike,sentence b cannot be said to be true or false,3.4,1.02
somebody is leaping in the air on a board,a snowboarder is doing a flip over a mound of snow,sentence b cannot be said to be true or false,3.8,1.166
a skateboarder is jumping in the air,a man in a red shirt is doing a trick with the skateboard,sentence b cannot be said to be true or false,3.6,0.8
three men are jumping on a wall,"three young men are running, jumping and kicking near a vending machine",sentence b cannot be said to be true or false,3.4,0.8
a classroom is empty,a classroom is full of students,sentence b is false,2.8,1.6
three boys are carefully walking on rocks along a river,three boys are walking on rocks along a river,sentence b is true,4.8,0.4
a dog that has a white and brown colored coat is trotting through shallow water.,a dog that has a brown and white coat is trotting through shallow water,sentence b is true,5,0
there is no woman slicing a tomato,a woman is peeling a potato,sentence b cannot be said to be true or false,3.2,1.166
a man is making a sketch,a man is drawing,sentence b is true,4.6,0.49
the snowboarder is jumping off a snowy hill,a snowboarder is jumping off the snow,sentence b is true,4.8,0.4
two women are naked and are standing on the sand,two women are wearing bikinis and are walking on the sand,sentence b is false,4.2,0.4
the man is gracefully singing and playing the guitar,the man is singing and playing the guitar,sentence b is true,4.8,0.4
"two large dogs, a light colored one and a dark one, are sleeping on a snowy terrain",two dogs are leaping through snowy grass and rocks,sentence b cannot be said to be true or false,3.4,1.356
a group of racing dogs are nosing a muzzle,a group of racing dogs is wearing striped uniforms and is running down a track,sentence b cannot be said to be true or false,3.4,1.02
a black dog is sitting in the grass and keeping its mouth closed,a black dog is running in the grass and its tongue is hanging out,sentence b is false,3.8,0.98
