_unit_id,_unit_state,_trusted_judgments,_last_judgment_at,truth_response,truth_response:confidence,hypothesis,premise,truth_response_gold
679986283,finalized,5,2/22/15 1:55,no,0.423,a child rock climbing.,a woman in a striped shirt climbs up a mountain.,
679986284,finalized,5,2/22/15 1:39,yes,0.5798,a child rock climbing.,a young man climbs a rocky hill.,
679986285,finalized,5,2/22/15 1:42,no,0.6322,a group taking pictures.,a girl with blue hair and a blue shirt is standing near a group of people.,
679986286,finalized,5,2/22/15 1:01,no,0.8152,a group taking pictures.,a person with long blue hair standing behind a large crowd of people.,
679986287,finalized,5,2/22/15 2:03,no,0.8248,a group taking pictures.,the woman with blue hair has a green scarf tied around her head.,
679986288,finalized,5,2/22/15 2:25,unk,0.5968,a group taking pictures.,woman with blue hair at a large gathering.,
679986289,finalized,5,2/22/15 1:24,no,0.6145,guy surfing.,"man with black suit on, on some type of glider in ocean, attached to parachute.",
679986290,finalized,5,2/22/15 0:48,no,0.5793,guy surfing.,a young man is parasailing on a cloudy day.,
679986291,finalized,5,2/22/15 0:41,yes,1,guy surfing.,a man becomes airborne while windsurfing.,
679986292,finalized,5,2/22/15 0:30,yes,0.5906,guy surfing.,a man parasailing in rough waters.,
679986293,finalized,5,2/22/15 1:42,no,0.5904,an artist waits.,"two women, one wearing blue clothing and the other wearing an orange skirt and white shirt, are standing in high grass as one holds a camera.",
679986294,finalized,5,2/22/15 0:29,no,0.6046,an artist waits.,"a woman holding a camera and another woman, both with long flowing dresses, look into the distant on a riverbank.",
679986295,finalized,5,2/22/15 0:54,no,1,an artist waits.,"two women are standing in a wet marsh looking at a tree, there is very long grass surrounding them.",
679986296,finalized,5,2/22/15 1:03,no,0.6007,an artist waits.,two indian ladies photograph the long green grass outdoors of their native land.,
679986297,finalized,5,2/22/15 1:38,no,0.409,men cook food on a grill.,"two men, in the woods, cook something in a can over an open fire.",
679986298,finalized,5,2/22/15 1:28,yes,0.8071,men cook food on a grill.,two men are preparing dinner over a fire with tin cans.,
679986299,finalized,5,2/22/15 1:21,no,0.8039,men cook food on a grill.,a man and a woman can prepare meals at camp together.,
679986300,finalized,5,2/22/15 0:40,yes,0.7928,men cook food on a grill.,two man are outdoors cooking over an open fire.,
679986301,finalized,5,2/22/15 0:43,yes,1,a snowboarder does a trick.,a person in a green jacket and yellow pants is on a snowboard coming down a roof into the snow.,
679986302,finalized,5,2/22/15 2:04,yes,0.618,a snowboarder does a trick.,a snowboarder slides down the side of an a-frame house buried in snow.,
679986303,finalized,5,2/22/15 1:38,yes,1,a snowboarder does a trick.,someone snowboards up the roof of a barn.,
679986304,finalized,5,2/22/15 1:48,yes,1,a snowboarder does a trick.,a snowboarder goes up a ramp.,
679986305,finalized,5,2/22/15 1:09,yes,1,a performer plays his guitar.,a guitarist plays on stage with green lights behind him.,
679986306,finalized,5,2/22/15 1:47,yes,0.6131,a performer plays his guitar.,a musician is playing an instrument on stage.,
679986307,finalized,5,2/22/15 1:50,yes,1,a performer plays his guitar.,a man playing a bass on stage.,
679986308,finalized,5,2/22/15 0:46,unk,0.7814,a performer plays his guitar.,a man playing music on stage.,
679986309,finalized,5,2/22/15 0:22,no,0.7875,a man standing.,an older man in a white shirt walks out of a building through a pair of wooden doors.,
679986310,finalized,5,2/22/15 2:19,yes,1,a man standing.,an old man in a red hat is holding open a door.,
679986311,finalized,5,2/22/15 1:48,yes,0.6174,a man standing.,an elderly gentleman is exiting a building.,
679986312,finalized,5,2/22/15 0:42,unk,0.3997,a man standing.,an old man walks out of a building.,
679986313,finalized,5,2/22/15 1:24,yes,1,friends have a drink.,"two women, one in a blue halter top and the other a pink shirt, enjoy some beer.",
679986314,finalized,5,2/22/15 0:24,yes,1,friends have a drink.,"two women sitting down at a party, drinking large glasses of beer.",
679986315,finalized,5,2/22/15 1:16,yes,1,friends have a drink.,two women enjoying drinks and each other's company at a bar.,
679986316,finalized,5,2/22/15 2:16,yes,1,friends have a drink.,two happy looking women beside alcoholic beverages.,
679986317,finalized,5,2/22/15 0:23,yes,0.6521,several children stand.,a girl with long pigtails and a barbie bag touching the orange poles along with other little girls wearing a white shirt and blue shorts.,
679986318,finalized,5,2/22/15 0:45,yes,0.5981,several children stand.,several children in white shirts run their fingers through a railing.,
679986319,finalized,5,2/22/15 0:56,no,0.6008,several children stand.,three little children playing behind bars,
679986320,finalized,5,2/22/15 0:23,unk,0.5793,several children stand.,young girls leaving school,
679986321,finalized,5,2/22/15 0:58,yes,1,a man on a phone stands.,"one standing man and one seated man in a concrete block alley on cellphones, both wearing fitted caps and loose-fitting khaki clothing.",
679986322,finalized,5,2/22/15 1:26,yes,0.6018,a man on a phone stands.,two men are talking on their cellphones while in an alleyway.,
679986323,finalized,5,2/22/15 1:38,no,0.4109,a man on a phone stands.,two african men mind their own business.,
679986324,finalized,5,2/22/15 1:41,yes,0.4065,a man on a phone stands.,two middle eastern men on cellphones.,
679986325,finalized,5,2/22/15 0:32,no,0.8111,onlookers watch.,a baseball player in white swings for the ball as the player in brown is waiting to intercept.,
679986326,finalized,5,2/22/15 1:58,no,0.5833,onlookers watch.,a girl at bat in a softball game,
679986327,finalized,5,2/22/15 1:50,yes,0.5773,onlookers watch.,a baseball player punting.,
679986328,finalized,5,2/22/15 0:47,no,0.7977,onlookers watch.,a batter swings at a ball.,
679986329,finalized,5,2/22/15 1:44,yes,0.8009,a man singing and playing instruments.,"a group of three individuals involved in an event geared towards epilepsy, singing and performing for a group of people.",
679986330,finalized,5,2/22/15 1:08,yes,0.5997,a man singing and playing instruments.,cool dude in sunglasses and a hat sings loudly into the mic assisted by a beautiful dancing woman.,
679986331,finalized,5,2/22/15 1:19,no,0.6225,a man singing and playing instruments.,a drummer in a colorful mexican hat and two singers wearing white clothing.,
679986332,finalized,5,2/22/15 2:02,yes,0.5877,a man singing and playing instruments.,a group of musicians are performing together in costume.,
679986333,finalized,5,2/22/15 0:37,no,0.8209,a lady speaking.,"two asian band members, a female vocalist with reddish hair and a black leather vest, and a male guitarist with a old west-style black, red, and white shirt and a red scarf perform.",
679986334,finalized,5,2/22/15 1:14,no,0.8052,a lady speaking.,"a young asian man and woman stand open-mouthed in front of microphones, they are dressed in rockabilly style and the man has a blue guitar",
679986335,finalized,5,2/22/15 1:15,no,0.6073,a lady speaking.,a man in black holding a guitar and a woman in a black vest are singing into microphones.,
679986336,finalized,5,2/22/15 1:26,no,0.6046,a lady speaking.,a woman is singing into an old style microphone accompanied by a man.,
679986337,finalized,5,2/22/15 1:50,yes,0.6224,a woman doing gymnastics.,"a young gymnast, jumps high in the air, while performing on a balance beam.",
679986338,finalized,5,2/22/15 1:00,yes,0.8191,a woman doing gymnastics.,a gymnast performing on the balance beam in front of an audience.,
679986339,finalized,5,2/22/15 0:56,yes,0.6108,a woman doing gymnastics.,the young gymnast's supple body soars above the balance beam.,
679986340,finalized,5,2/22/15 0:45,yes,0.8038,a woman doing gymnastics.,a gymnast is performing on the balance beam.,
679986341,finalized,5,2/22/15 2:13,yes,0.6183,an african american woman walking.,a woman wearing a purple and white tank top is walking beside a building while carrying a tray of oranges on her head.,
679986342,finalized,5,2/22/15 1:26,yes,0.4059,an african american woman walking.,a woman in a white and blue tank carries a tray of food on her head while walking in front of a church.,
679986343,finalized,5,2/22/15 1:11,yes,0.3966,an african american woman walking.,a woman with great balance walking with a bunch of fruit on a platter placed on her head.,
679986344,finalized,5,2/22/15 1:14,yes,0.6462,an african american woman walking.,a black woman carrying citrus fruits on a platter that is on her head.,
679986345,finalized,5,2/22/15 0:53,unk,0.5739,a man smoking a cigarette.,"two construction workers working on infrastructure, while one worker takes a break.",
679986346,finalized,5,2/22/15 0:29,no,0.6212,a man smoking a cigarette.,one man is shirtless while the other two men work on construction,
679986347,finalized,5,2/22/15 1:18,no,0.6173,a man smoking a cigarette.,three male construction workers on a roof working in the sun.,
679986348,finalized,5,2/22/15 2:00,no,0.5928,a man smoking a cigarette.,three men are working construction on top of a building.,
679986349,finalized,5,2/22/15 1:20,yes,1,a man falling.,surfer in black wetsuit falling off his board into the water.,
679986350,finalized,5,2/22/15 1:43,yes,1,a man falling.,a surfer is falling into a big ocean wave,
679986351,finalized,5,2/22/15 1:31,yes,0.6069,a man falling.,a surfer flies over a crashing wave.,
679986352,finalized,5,2/22/15 2:17,yes,1,a man falling.,the surfer is wiped out by the wave.,
679986353,finalized,5,2/22/15 1:05,no,0.8136,women having a discussion.,a woman is holding her child while a man is reading something from a piece of paper and taking something from a bowl that a younger girl is holding in a park with a small lake in the background.,
679986354,finalized,5,2/22/15 2:07,no,0.824,women having a discussion.,"woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.",
679986355,finalized,5,2/22/15 1:36,yes,0.6042,women having a discussion.,a small group of people meeting together at a tree by water.,
679986356,finalized,5,2/22/15 0:48,no,0.5982,women having a discussion.,a family is standing under a very large tree.,
679986357,finalized,5,2/22/15 1:34,yes,0.5946,a woman climbing a plant.,"a girl in a blue dress, wearing a blue sweater, hanging out in a tree.",
679986358,finalized,5,2/22/15 1:55,yes,0.5976,a woman climbing a plant.,a girl in a blue school uniform climbs a tree and stops for a picture.,
679986359,finalized,5,2/22/15 2:20,yes,0.6378,a woman climbing a plant.,girl in school outfit atop a tree.,
679986360,finalized,5,2/22/15 1:23,yes,0.562,a woman climbing a plant.,a schoolgirl climbing a tree.,
679986361,finalized,5,2/22/15 1:01,yes,0.6071,a woman standing.,blond woman in black cycling outfit and bicycle helmet getting on a ten speed bike.,
679986362,finalized,5,2/22/15 0:23,no,0.6543,a woman standing.,"blond bicyclist wearing a helmet and pink goggles, looks down.",
679986363,finalized,5,2/22/15 1:33,no,1,a woman standing.,a female wearing bicycle racing gear and a helmet is on a bike.,
679986364,finalized,5,2/22/15 1:38,no,0.8061,a woman standing.,a woman in black and white is on a bicycle.,
679986365,finalized,5,2/22/15 2:00,unk,0.3971,a woman standing.,a little girl in a swimsuit on the beach at the edge of the water between large rocks .a woman with.,
679986366,finalized,5,2/22/15 2:06,no,0.6214,a woman standing.,a young girl in an orange bathing suit plays on the beach's shore.,
679986367,finalized,5,2/22/15 1:50,yes,0.5647,a woman standing.,child in bathing suite walking towards water on beach.,
679986368,finalized,5,2/22/15 1:44,yes,0.63,a woman standing.,girl in bathing suit near a rocky shore.,
679986369,finalized,5,2/22/15 2:15,yes,0.5851,women talking on a street.,a woman wearing a red and black striped dress is standing next to two women on a sidewalk.,
679986370,finalized,5,2/22/15 0:58,yes,0.6056,women talking on a street.,three girls are chatting and waiting in front of the parking lot.,
679986371,finalized,5,2/22/15 1:17,no,0.6043,women talking on a street.,teenage girls are gathered near a wall in a city.,
679986372,finalized,5,2/22/15 1:13,yes,0.8398,women talking on a street.,three younger women sit outside and have a chat.,
679986373,finalized,5,2/22/15 1:47,yes,0.7999,a vendor sitting.,"a man is laying out his merchandise to include eggs, chickens and vegetables.",
679986374,finalized,5,2/22/15 0:51,yes,0.4204,a vendor sitting.,a man in a brown coat and pants is arranging dead chickens on a mat.,
679986375,finalized,5,2/22/15 1:17,yes,0.5959,a vendor sitting.,a man sells eggs and chickens from a mat on the street.,
679986376,finalized,5,2/22/15 0:40,yes,0.616,a vendor sitting.,a man with dead chickens and baskets of chicken eggs.,
679986377,finalized,5,2/22/15 1:11,yes,1,a man serves food.,"an older man with glasses on stands while cutting a cake, as a woman and young girl sit waiting.",
679986378,finalized,5,2/22/15 1:46,yes,0.803,a man serves food.,a older man cutting a cake for two girls sitting at a table.,
679986379,finalized,5,2/22/15 2:09,yes,0.5859,a man serves food.,a family getting ready to enjoy a strawberry shortcake.,
679986380,finalized,5,2/22/15 1:46,yes,1,a man serves food.,a man cutting a cake while two little girls watch.,
679986381,finalized,5,2/22/15 1:51,no,0.3989,a child digs.,a boy in a red denim jacket plays in the sand with a flag in it.,
679986382,finalized,5,2/22/15 0:51,yes,1,a child digs.,"a small boy, fully dressed, playing in the sand.",
679986383,finalized,5,2/22/15 0:29,yes,0.8087,a child digs.,a small male child playing in the sand.,
679986384,finalized,5,2/22/15 1:33,yes,1,a child digs.,little boy who is playing in the sand.,
679986385,finalized,5,2/22/15 1:32,no,1,a woman carrying a bag.,a bald man wearing all black waits for the subway and so does another man who is leaning on a pillar.,
679986386,finalized,5,2/22/15 0:36,no,1,a woman carrying a bag.,a man holds a blue notebook while he waits on the train platform.,
679986387,finalized,5,2/22/15 0:40,no,1,a woman carrying a bag.,an elderly man is standing on the edge of a train platform.,
679986388,finalized,5,2/22/15 2:20,no,1,a woman carrying a bag.,two men wait for the subway.,
679986389,finalized,5,2/22/15 1:54,yes,0.6017,a group having a meeting.,"a group of people are standing at the front of the room, preparing to sing.",
679986390,finalized,5,2/22/15 0:54,yes,0.6328,a group having a meeting.,a group of women with black binders stand in front of a group of people.,
679986391,finalized,5,2/22/15 0:46,yes,0.8054,a group having a meeting.,woman standing in front of group with black folders in hand.,
679986392,finalized,5,2/22/15 0:33,no,1,a group having a meeting.,a group of individuals performed in front of a seated crowd.,
679986393,finalized,5,2/22/15 0:29,no,0.4003,a man giving instructions.,an older man in a red sweatshirt stands in front of a group of children sitting on benches in front of him.,
679986394,finalized,5,2/22/15 1:42,yes,0.8008,a man giving instructions.,a man is speaking in front of young children who are seated on picnic tables.,
679986395,finalized,5,2/22/15 0:51,yes,0.8043,a man giving instructions.,a man in a red sweatshirt is talking to a group of children in the forest.,
679986396,finalized,5,2/22/15 1:56,yes,0.8031,a man giving instructions.,adult male in red hoodie lecturing a group of children outside.,
679986397,finalized,5,2/22/15 1:43,yes,0.8109,a man in a boat paddling through waters.,a person is half submerged in water in their yellow kayak.,
679986398,finalized,5,2/22/15 1:21,no,1,a man in a boat paddling through waters.,a woman has positioned her kayak nose down in the water.,
679986399,finalized,5,2/22/15 0:40,yes,1,a man in a boat paddling through waters.,a person in a canoe is rafting in wild waters.,
679986400,finalized,5,2/22/15 1:27,yes,0.6026,a man in a boat paddling through waters.,a kayaker plungles into the river.,
679986401,finalized,5,2/22/15 0:18,no,1,two men take pictures.,"four boys, one on a skateboard, one on a scooter, and two standing, are at a skate park on a ramp with a scary looking face graffiti on it.",
679986402,finalized,5,2/22/15 1:36,yes,0.6169,two men take pictures.,"at a skate park one man skateboards, one rides a scooter and 2 men record the skateboarder from below and above him.",
679986403,finalized,5,2/22/15 1:09,no,1,two men take pictures.,a boy at a skate park is at the apex of his trick while other boys look on.,
679986404,finalized,5,2/22/15 2:06,yes,1,two men take pictures.,a boy on a scooter rolls by as two men photograph a skateboarder.,
679986405,finalized,5,2/22/15 0:59,yes,0.4288,women walking.,a group of middle eastern people walking through the snow.,
679986406,finalized,5,2/22/15 1:52,yes,0.5863,women walking.,five people walk through the snow wearing exotic clothes.,
679986407,finalized,5,2/22/15 0:42,yes,0.5953,women walking.,a family in colorful clothing walking in the snow.,
679986408,finalized,5,2/22/15 0:57,yes,1,women walking.,a middle eastern family is walking,
679986409,finalized,5,2/22/15 1:56,no,0.7987,men pick.,four men in purple shirts and two in dark gray moving a sculpture.,
679986410,finalized,5,2/22/15 2:13,no,0.6218,men pick.,a group of men place a chicken foot statue in its setting.,
679986411,finalized,5,2/22/15 1:07,no,1,men pick.,some men are trying to place a statue down on the ground,
679986412,finalized,5,2/22/15 1:43,no,0.8071,men pick.,a group of men are carrying playground equipment.,
679986413,finalized,5,2/22/15 1:26,yes,0.5999,a man singing.,a group of musicians perform in a room before a crowd of people including one man wearing a checkered jacket and a girl with pink hair.,
679986414,finalized,5,2/22/15 0:51,yes,0.624,a man singing.,a group of seven men perform on a stage with microphones and guitars as several young men and women dance and look on.,
679986415,finalized,5,2/22/15 1:07,yes,0.4063,a man singing.,a seven piece band plays on a small crowded stage in front of a person wearing a checkered hooded shirt.,
679986416,finalized,5,2/22/15 0:48,yes,0.5962,a man singing.,people at a club talking and listening to the band.,
679986417,finalized,5,2/22/15 1:29,unk,0.8017,a man posing for a picture.,"a man in sungalsses with a beard wearing a black top hat with pink, green, purple and pink feathers.",
679986418,finalized,5,2/22/15 1:53,yes,0.8031,a man posing for a picture.,a man wearing a top hat with green pink and purple feathers on it.,
679986419,finalized,5,2/22/15 1:12,no,0.408,a man posing for a picture.,a man in an unusual outfit is standing with a cigar in his mouth.,
679986420,finalized,5,2/22/15 2:15,yes,0.7962,a man posing for a picture.,a man wears a feathered hat and several cross pendants.,
679986421,finalized,5,2/22/15 1:47,unk,0.3967,a man taking a break.,a man is sitting on a chair on the sidewalk with bagpipes in front of a store.,
679986422,finalized,5,2/22/15 0:51,no,0.8126,a man taking a break.,a bagpipe street performer in front of a store window.,
679986423,finalized,5,2/22/15 1:33,no,0.7946,a man taking a break.,a man plays an instrument on the sidewalk for tips.,
679986424,finalized,5,2/22/15 2:09,no,0.5993,a man taking a break.,bagpiper on the street of a city.,
679986425,finalized,5,2/22/15 1:41,yes,0.5946,a group sits.,six casually dressed people watch from the comfort and protection of a wooden rail while a restaurant employee stands in the background.,
679986426,finalized,5,2/22/15 1:02,no,0.8089,a group sits.,a group of six people are standing next to a white fence.,
679986427,finalized,5,2/22/15 2:15,no,0.7955,a group sits.,six people stand at the railing at the el tambor.,
679986428,finalized,5,2/22/15 1:33,yes,0.6185,a group sits.,crowd of people standing near a bench.,
679986429,finalized,5,2/22/15 2:21,no,0.8188,a man coming.,a man in a black bathing suit is playing volleyball on a beach with palm trees.,
679986430,finalized,5,2/22/15 0:57,no,0.8067,a man coming.,a volleyball player wearing shorts is hitting a volleyball in the sand.,
679986431,finalized,5,2/22/15 1:41,no,0.8273,a man coming.,a volleyball player watches a ball approach him.,
679986432,finalized,5,2/22/15 1:31,no,1,a man coming.,a man playing volleyball on the beach.,
679986433,finalized,5,2/22/15 2:13,no,0.5693,a tan dog runs through a field.,a brown dog with its mouth open and ears in the air running on a grassy surface.,
679986434,finalized,5,2/22/15 1:52,yes,0.5863,a tan dog runs through a field.,a yellow labrador running with its ears flopping.,
679986435,finalized,5,2/22/15 0:37,yes,0.625,a tan dog runs through a field.,this dog is running along the path.,
679986436,finalized,5,2/22/15 1:44,yes,1,a tan dog runs through a field.,the brown dog is running.,
679986437,finalized,5,2/22/15 1:57,yes,1,a group relaxing.,people are sitting at tables and some are looking at a dog balloon.,
679986438,finalized,5,2/22/15 1:09,yes,1,a group relaxing.,several people sitting outside around a dalmatian balloon.,
679986439,finalized,5,2/22/15 0:26,yes,0.7976,a group relaxing.,these people are sitting outside on a sunny day.,
679986440,finalized,5,2/22/15 0:40,yes,1,a group relaxing.,people sit outside a tea house on a nice day.,
679986441,finalized,5,2/22/15 2:01,yes,0.8232,women standing next to a sign.,a woman is pointing down the street to her friend in front of an entrance to a subway station.,
679986442,finalized,5,2/22/15 0:51,yes,0.6181,women standing next to a sign.,a woman next to a subway entrance in a tan coat is asking a woman in a pink coat directions.,
679986443,finalized,5,2/22/15 0:20,unk,0.6039,women standing next to a sign.,a young woman gives directions to an older woman outside a subway station.,
679986444,finalized,5,2/22/15 2:09,yes,0.7882,women standing next to a sign.,a woman outside of the subway giving directions.,
679986445,finalized,5,2/22/15 0:36,unk,0.5934,a man holding a sign.,a man with a gray beard sitting outside on a plastic storage crate.,
679986446,finalized,5,2/22/15 1:08,no,0.8082,a man holding a sign.,an old man with a beard is sitting on a milk crate on the street.,
679986447,finalized,5,2/22/15 0:57,no,0.4181,a man holding a sign.,a man sitting in between two roads on a black crate.,
679986448,finalized,5,2/22/15 0:41,unk,0.7961,a man holding a sign.,a man in a white shirt is sitting on a crate.,
679986449,finalized,5,2/22/15 2:12,no,0.8223,man working on a bike.,"a man with a goatee, glasses, hate with wings is examining what looks to be some kind of sound equipment.",
679986450,finalized,5,2/22/15 0:51,yes,1,man working on a bike.,a man wearing a cap and glasses is fixing the seat of a bicycle.,
679986451,finalized,5,2/22/15 2:09,yes,1,man working on a bike.,a man with a biking cap is fixing the saddle on a bicycle,
679986452,finalized,5,2/22/15 0:58,yes,1,man working on a bike.,a man tinkers with a bicycle seat.,
679986453,finalized,5,2/22/15 0:35,yes,0.8058,a man competing in a competition.,a man in a red uniform dives to hit a shuttlecock with his racket during an olympic badminton match.,
679986454,finalized,5,2/22/15 0:51,yes,0.8103,a man competing in a competition.,a man dressed in red dives for a shuttlecock with a racket on a court.,
679986455,finalized,5,2/22/15 0:59,yes,0.807,a man competing in a competition.,a asian man in a red and yellow uniform diving for the birdie in a game,
679986456,finalized,5,2/22/15 2:03,yes,1,a man competing in a competition.,a male athlete in red and yellow is diving toward a badminton birdie.,
679986457,finalized,5,2/22/15 1:08,yes,0.429,a child racing.,"a small child in an orange, white and black coat coming down a snowy hill on an innertube.",
679986458,finalized,5,2/22/15 1:42,yes,0.816,a child racing.,"a boy snow tubing on a green, blue, and yellow colored tube.",
679986459,finalized,5,2/22/15 1:44,yes,0.8155,a child racing.,a child laughs while tubing down the snowy mountain.,
679986460,finalized,5,2/22/15 0:44,yes,0.4246,a child racing.,a boy slides down a snowy hill in an innertube.,
679986461,finalized,5,2/22/15 2:04,yes,0.78,a woman seated.,man reads to his son while mother spends time with the other child on the sofa.,
679986462,finalized,5,2/22/15 1:56,yes,1,a woman seated.,a man and a woman are sitting on a couch with two children.,
679986463,finalized,5,2/22/15 1:38,yes,0.792,a woman seated.,a female and a male each sit on the sofa with a child.,
679986464,finalized,5,2/22/15 1:17,unk,0.5692,a woman seated.,a man and a woman entertaining two children.,
679986465,finalized,5,2/22/15 1:09,yes,0.7961,a kid skateboarding.,a teenage boy in rides a hand-railing on a skateboard outside a columned brick building.,
679986466,finalized,5,2/22/15 1:18,yes,1,a kid skateboarding.,a boy in a blue and white tie dye t-shirt is skateboarding on the railing of a building.,
679986467,finalized,5,2/22/15 1:57,yes,1,a kid skateboarding.,a boy in a tie dyed shirt is riding a skateboard down a railing.,
679986468,finalized,5,2/22/15 1:10,yes,1,a kid skateboarding.,a skateboarder goes down a stair railing.,
679986469,finalized,5,2/22/15 0:48,yes,0.6091,men stand next to each other.,two men in restaurant uniforms pose for a picture.,
679986470,finalized,5,2/22/15 1:49,yes,0.6155,men stand next to each other.,two men both with dark hair wearing striped vests.,
679986471,finalized,5,2/22/15 1:57,yes,0.6337,men stand next to each other.,two young men wearing matching clothing smiling.,
679986472,finalized,5,2/22/15 0:47,yes,0.8092,men stand next to each other.,two guys are wearing matching uniforms.,
679986473,finalized,5,2/22/15 0:37,yes,0.6038,men playing musical instruments.,"a boy in a red plaid button-up shirt playing a guitar, with another boy playing an orange bass behind him, and another person playing a drum set.",
679986474,finalized,5,2/22/15 1:58,yes,0.4146,men playing musical instruments.,"two men rehearsing, one wearing a checker broad sweater and the other playing a orange guitar.",
679986475,finalized,5,2/22/15 2:18,unk,0.8123,men playing musical instruments.,a group of young adults come together to perform song complete with drums and a guitar.,
679986476,finalized,5,2/22/15 0:35,yes,1,men playing musical instruments.,young men perform in a band indoors.,
679986477,finalized,5,2/22/15 2:17,yes,0.5882,a man walking along a path.,a man walking past a lamp post with a sign saying 'no dogs allowed'.,
679986478,finalized,5,2/22/15 0:51,yes,0.8093,a man walking along a path.,a man is walking by a pole with a no pets sign.,
679986479,finalized,5,2/22/15 0:44,yes,0.4058,a man walking along a path.,a man talks on his cellphone in private.,
679986480,finalized,5,2/22/15 0:23,yes,1,a man walking along a path.,man taking a walk by himself.,
679986481,finalized,5,2/22/15 2:15,no,0.4104,dogs greeting each other.,two little dogs are lying on the green grass and a larger dog looks down on them.,
679986482,finalized,5,2/22/15 0:50,yes,0.8124,dogs greeting each other.,a large orange dog and a little orange dog with another third dog in the grass.,
679986483,finalized,5,2/22/15 2:04,yes,0.6324,dogs greeting each other.,three dogs sniffing each other.,
679986484,finalized,5,2/22/15 1:31,yes,0.5932,dogs greeting each other.,two dogs and a puppy.,
679986485,finalized,5,2/22/15 1:33,no,0.602,a dog walking.,a black dog in a red collar splashing through the water.,
679986486,finalized,5,2/22/15 0:46,yes,0.5914,a dog walking.,"a big, black dog with a red collar runs in the water.",
679986487,finalized,5,2/22/15 0:46,no,0.6166,a dog walking.,a black dog is running through some water.,
679986488,finalized,5,2/22/15 2:18,unk,0.404,a dog walking.,a black dog splashes in the water,
